Crash_Condition_ID,Posted_Speed_Limit,Traffic_Control_Device,Traffic_Control_Device_Condition,Weather_Condition,Lighting_Condition,Trafficway_Type,Roadway_Surface_Condition,Road_Defect,Alignment
1,25,STOP SIGN,DAMAGED,CLEAR,DAYLIGHT,DIVIDED,SNOW OR SLUSH,WORN SURFACE,CURVE LEVEL
2,30,NO CONTROLS,DAMAGED,SLEET/HAIL,DAYLIGHT,ALLEY,SAND/MUD/DIRT,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
3,20,TRAFFIC SIGNAL,MISSING,SLEET/HAIL,DARKNESS,ALLEY,WET,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
4,25,RAILROAD CROSSING GATE,MISSING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
5,30,TRAFFIC SIGNAL,DAMAGED,RAIN,DUSK,ALLEY,DRY,DEBRIS ON ROADWAY,CURVE LEVEL
6,45,NO CONTROLS,DAMAGED,RAIN,DAYLIGHT,DIVIDED,DRY,POTHOLES,STRAIGHT AND LEVEL
7,40,STOP SIGN,DAMAGED,SNOW,DAYLIGHT,ONE-WAY,SNOW OR SLUSH,WORN SURFACE,CURVE ON GRADE
8,50,YIELD SIGN,NOT FUNCTIONING,SNOW,"DARKNESS, LIGHTED ROAD",DIVIDED,DRY,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
9,55,NO CONTROLS,DAMAGED,RAIN,DARKNESS,NOT DIVIDED,ICE,NO DEFECTS,CURVE ON GRADE
10,25,YIELD SIGN,NOT FUNCTIONING,CLEAR,DUSK,ALLEY,DRY,WORN SURFACE,CURVE ON GRADE
11,40,TRAFFIC SIGNAL,NOT FUNCTIONING,RAIN,DAYLIGHT,ONE-WAY,ICE,POTHOLES,STRAIGHT ON GRADE
12,35,RAILROAD CROSSING GATE,DAMAGED,SNOW,DAYLIGHT,DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
13,40,STOP SIGN,FUNCTIONING PROPERLY,FOG/SMOKE,DARKNESS,ONE-WAY,ICE,POTHOLES,STRAIGHT AND LEVEL
14,25,NO CONTROLS,FUNCTIONING PROPERLY,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",PARKING LOT,DRY,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
15,40,STOP SIGN,MISSING,SEVERE CROSS WIND,DAWN,DIVIDED,WET,NO DEFECTS,STRAIGHT AND LEVEL
16,50,YIELD SIGN,DAMAGED,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",PARKING LOT,ICE,WORN SURFACE,STRAIGHT ON GRADE
17,20,YIELD SIGN,MISSING,FOG/SMOKE,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,CURVE ON GRADE
18,25,RAILROAD CROSSING GATE,DAMAGED,SLEET/HAIL,DAYLIGHT,ALLEY,WET,DEBRIS ON ROADWAY,STRAIGHT ON GRADE
19,30,YIELD SIGN,MISSING,RAIN,DUSK,ALLEY,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT AND LEVEL
20,40,RAILROAD CROSSING GATE,NOT FUNCTIONING,CLEAR,"DARKNESS, LIGHTED ROAD",ALLEY,SNOW OR SLUSH,WORN SURFACE,CURVE ON GRADE
21,20,NO CONTROLS,DAMAGED,FOG/SMOKE,DAWN,PARKING LOT,SAND/MUD/DIRT,POTHOLES,STRAIGHT AND LEVEL
22,50,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,DUSK,ALLEY,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE ON GRADE
23,35,YIELD SIGN,DAMAGED,SEVERE CROSS WIND,DAWN,NOT DIVIDED,SAND/MUD/DIRT,NO DEFECTS,STRAIGHT AND LEVEL
24,35,TRAFFIC SIGNAL,MISSING,SEVERE CROSS WIND,DUSK,DIVIDED,SNOW OR SLUSH,SHOULDER DEFECT,STRAIGHT ON GRADE
25,50,RAILROAD CROSSING GATE,MISSING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,CURVE LEVEL
26,40,STOP SIGN,MISSING,SNOW,DAYLIGHT,ONE-WAY,SNOW OR SLUSH,POTHOLES,CURVE LEVEL
27,35,TRAFFIC SIGNAL,MISSING,FOG/SMOKE,DAWN,PARKING LOT,SAND/MUD/DIRT,NO DEFECTS,CURVE ON GRADE
28,30,RAILROAD CROSSING GATE,MISSING,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",DIVIDED,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT ON GRADE
29,25,STOP SIGN,MISSING,SNOW,DAWN,PARKING LOT,ICE,SHOULDER DEFECT,STRAIGHT AND LEVEL
30,20,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SEVERE CROSS WIND,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,DEBRIS ON ROADWAY,CURVE ON GRADE
31,45,RAILROAD CROSSING GATE,MISSING,RAIN,DUSK,ALLEY,DRY,DEBRIS ON ROADWAY,CURVE ON GRADE
32,40,NO CONTROLS,FUNCTIONING PROPERLY,FOG/SMOKE,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
33,35,STOP SIGN,DAMAGED,SNOW,DUSK,NOT DIVIDED,SNOW OR SLUSH,DEBRIS ON ROADWAY,STRAIGHT AND LEVEL
34,25,NO CONTROLS,NOT FUNCTIONING,SEVERE CROSS WIND,DAYLIGHT,ALLEY,DRY,NO DEFECTS,STRAIGHT AND LEVEL
35,45,YIELD SIGN,FUNCTIONING PROPERLY,SNOW,DUSK,ALLEY,SAND/MUD/DIRT,WORN SURFACE,STRAIGHT ON GRADE
36,30,RAILROAD CROSSING GATE,DAMAGED,SEVERE CROSS WIND,DARKNESS,ALLEY,ICE,POTHOLES,CURVE LEVEL
37,35,RAILROAD CROSSING GATE,NOT FUNCTIONING,RAIN,DAYLIGHT,ONE-WAY,WET,SHOULDER DEFECT,CURVE ON GRADE
