Crash_Location_ID,Street_No,Street_Direction,Beat_Of_Occurrence,Latitude,Longitude,Location
1,7271,S,1925,41.90755164310211,-87.58787215200128,POINT (-87.6521 41.7608)
2,861,N,1929,41.99536539295607,-87.63943929887185,POINT (-87.6128 41.8421)
3,5391,E,1828,41.782805906021515,-87.65148459729852,POINT (-87.9316 41.8343)
4,5192,W,1987,41.90908629726224,-87.56489222864455,POINT (-87.5660 42.0027)
5,5735,W,1729,41.82076137084417,-87.65044480377404,POINT (-87.7009 41.8219)
6,6266,N,1632,41.896271867689315,-87.82080486392255,POINT (-87.5990 41.9057)
7,467,W,1951,41.92989946751066,-87.64857747201219,POINT (-87.6007 41.9903)
8,4427,W,1906,41.6572719501656,-87.81155832526086,POINT (-87.8603 41.7819)
9,5579,W,1175,41.885708168700496,-87.62111962854406,POINT (-87.8937 41.9828)
10,8323,W,1023,41.72616165007464,-87.67970590111354,POINT (-87.6371 41.9886)
11,1686,E,1725,41.89461236436688,-87.9074871481664,POINT (-87.8743 41.9937)
12,770,W,1917,41.81796547065485,-87.72460914777724,POINT (-87.5830 41.7428)
13,6950,S,1235,41.93395004190866,-87.79581359293779,POINT (-87.6350 41.7921)
14,2434,N,1013,41.68689230977813,-87.80200033425244,POINT (-87.5864 41.9708)
15,5312,E,1101,41.87800249362935,-87.68705235300155,POINT (-87.8144 41.7765)
16,5052,W,1929,41.74581887699247,-87.80462357372284,POINT (-87.8070 41.8681)
17,6421,E,1536,41.96413315822563,-87.61370462575395,POINT (-87.6581 41.6849)
18,1185,W,1876,41.9927857321418,-87.9102675968753,POINT (-87.9268 41.6614)
19,4556,S,1523,42.018631351598046,-87.66263693399375,POINT (-87.6349 41.7966)
20,3386,N,1785,41.94248281292237,-87.60013818246416,POINT (-87.5890 41.8600)
21,6397,W,1452,41.926418946762645,-87.65741069023342,POINT (-87.7656 41.7892)
22,8667,W,1431,41.72189028836967,-87.7311637380916,POINT (-87.6188 41.8595)
23,9275,W,1793,41.76768268241624,-87.5408710542308,POINT (-87.8667 41.8357)
24,2559,W,1606,41.81695936586967,-87.8140258342848,POINT (-87.8047 41.9006)
25,7850,N,1713,41.93388479815726,-87.9319494872395,POINT (-87.5308 41.8868)
26,2048,N,1533,41.98768702872963,-87.75856446398535,POINT (-87.5257 41.8012)
27,2748,S,1852,41.71187285800873,-87.92613498692187,POINT (-87.7247 41.8015)
28,9168,N,1979,41.99049964417464,-87.5393465639389,POINT (-87.5476 41.6935)
29,190,W,1723,41.90433736789454,-87.85183442078582,POINT (-87.7205 41.8350)
30,2735,S,1652,41.872092877660315,-87.60865064994147,POINT (-87.8175 41.8631)
31,3006,S,1293,41.715939683087136,-87.61467972506676,POINT (-87.8279 41.8211)
32,4659,S,1810,41.66109951246748,-87.84855386213316,POINT (-87.5496 41.7638)
